SA,TIRANTE,K,F,TMINP,TMAXP,TMAXD,TAF
1,1,3.894,7.3,187,241,274.03,215.1234
1,2,4.869,4.813,91,121,190.63,119.5767
1,3,8.647,4.16,132,169,214.46,151.401
1,4,13.427,3.396,145,183,226.37,155.1518
1,5,20.68,2.927,161,204,250.2,181.5516
1,6,28.939,2.507,174,220,262.12,185.323
1,7,39.068,2.233,189,239,274.03,196.9256
1,8,53.355,2.052,202,252,297.86,228.0959
1,9,68.195,1.892,213,265,309.78,236.8884
1,10,85.426,1.726,223,277,321.69,254.5798
1,11,105.217,1.563,231,287,333.6,262.2771
1,12,127.714,1.417,233,290,345.52,263.0461
1,13,142.876,1.25,227,283,333.6,229.6957
1,14,187.358,1.208,258,320,381.26,269.9057
2,1,3.725,7.29,161,218,262.12,198.0946
2,2,4.261,5.299,100,135,166.8,122.0435
2,3,8.647,4.504,140,176,214.46,176.6301
2,4,13.427,3.771,153,189,226.37,194.6408
2,5,20.68,3.069,167,208,250.2,194.052
2,6,28.939,2.618,179,222,262.12,198.7315
2,7,40.766,2.306,189,234,285.95,220.862
2,8,53.355,2.056,199,250,297.86,229.6271
2,9,68.195,1.899,207,264,309.78,244.8775
2,10,85.426,1.74,211,276,321.69,256.626
2,11,105.217,1.597,219,287,333.6,269.2259
2,12,123.31,1.476,227,294,333.6,271.5193
2,13,142.876,1.368,215,276,333.6,258.1229
2,14,175.648,1.104,271,335,357.43,213.9784
3,1,3.725,7.221,161,218,262.12,193.9799
3,2,4.261,5.533,100,135,166.8,131.9123
3,3,8.647,4.514,140,176,214.46,169.6812
3,4,13.427,3.476,153,189,226.37,160.245
3,5,20.68,2.92,167,208,250.2,175.2499
3,6,28.939,2.472,179,222,262.12,187.3537
3,7,40.766,2.306,189,234,285.95,214.9878
3,8,53.355,2.049,199,250,297.86,224.2918
3,9,68.195,1.927,207,264,309.78,250.2814
3,10,85.426,1.816,211,276,321.69,281.8465
3,11,105.217,1.66,219,287,333.6,296.7329
3,12,123.31,1.521,227,294,333.6,296.1562
3,13,142.876,1.413,215,276,333.6,284.0231
3,14,175.648,1.154,271,335,357.43,237.3862
4,1,3.894,7.229,187,241,274.03,202.2994
4,2,4.869,5.076,91,121,190.63,126.3256
4,3,8.647,4.24,132,169,214.46,156.9456
4,4,13.427,3.333,145,183,226.37,150.7693
4,5,20.68,2.785,161,204,250.2,164.1932
4,6,28.939,2.545,174,220,262.12,191.453
4,7,39.068,2.281,189,239,274.03,208.0046
4,8,53.355,2.115,202,252,297.86,242.0588
4,9,68.195,1.948,213,265,309.78,260.3407
4,10,85.426,1.806,223,277,321.69,278.6261
4,11,105.217,1.625,231,287,333.6,277.4588
4,12,127.714,1.497,233,290,345.52,282.4438
4,13,142.876,1.358,227,283,333.6,262.126
4,14,187.358,1.16,258,320,381.26,259.1116
5,1,3.894,7.6,187,241,274.03,223.2241
5,2,4.869,5.9,91,121,190.63,116.11
5,3,8.647,4.517,132,169,214.46,148.9042
5,4,13.427,3.49,145,183,226.37,158.3172
5,5,20.68,2.785,161,204,250.2,162.9881
5,6,28.939,2.545,174,220,262.12,191.453
5,7,39.068,2.306,189,239,274.03,211.1357
5,8,53.355,2.094,202,252,297.86,234.2482
5,9,68.195,1.889,213,265,309.78,242.1996
5,10,85.426,1.781,223,277,321.69,266.9875
5,11,105.217,1.542,231,287,333.6,244.184
5,12,127.714,1.542,233,290,345.52,302.5351
5,13,142.876,1.347,227,283,333.6,258.1229
5,14,216.633,1.167,258,320,381.26,293.9383
6,1,3.725,7.658,161,218,262.12,180.8152
6,2,4.261,5.531,100,135,166.8,122.682
6,3,8.647,4.677,140,176,214.46,192.6684
6,4,13.427,3.448,153,189,226.37,163.4533
6,5,20.68,2.868,167,208,250.2,174.8328
6,6,28.939,2.49,179,222,262.12,183.3025
6,7,40.766,2.167,189,234,285.95,187.4293
6,8,53.355,2.122,199,250,297.86,238.9174
6,9,68.195,1.84,207,264,309.78,229.0331
6,10,85.426,1.788,211,276,321.69,275.4263
6,11,105.217,1.587,219,287,333.6,263.4306
6,12,123.31,1.559,227,294,333.6,293.5126
6,13,142.876,1.396,215,276,333.6,277.088
6,14,216.633,1.125,271,335,357.43,280.123
7,1,3.725,7.65,161,218,262.12,228.1371
7,2,4.261,4.925,100,135,166.8,103.7821
7,3,8.647,4.406,140,176,214.46,168.8813
7,4,13.427,3.604,153,189,226.37,177.0163
7,5,20.68,3.056,167,208,250.2,192.7405
7,6,28.939,2.59,179,222,262.12,194.5567
7,7,40.766,2.24,189,234,285.95,208.5574
7,8,53.355,2.049,199,250,297.86,228.0959
7,9,68.195,1.851,207,264,309.78,240.4211
7,10,85.426,1.729,211,276,321.69,259.7124
7,11,105.217,1.608,219,287,333.6,272.7415
7,12,123.31,1.51,227,294,333.6,281.7572
7,13,142.876,1.295,215,276,333.6,241.1215
7,14,175.648,1.038,271,335,357.43,188.0164
8,1,3.894,7.125,187,241,274.03,199.976
8,2,4.869,4.941,91,121,190.63,121.9164
8,3,8.647,4.132,132,169,214.46,149.4097
8,4,13.427,3.458,145,183,226.37,164.1022
8,5,20.68,2.868,161,204,250.2,173.5882
8,6,28.939,2.448,174,220,262.12,179.296
8,7,39.068,2.25,189,239,274.03,202.4256
8,8,53.355,2.042,202,252,297.86,226.5715
8,9,68.195,1.837,213,265,309.78,230.7669
8,10,85.426,1.694,223,277,321.69,246.4705
8,11,105.217,1.531,231,287,333.6,248.6472
8,12,127.714,1.417,233,290,345.52,273.3046
8,13,142.876,1.25,227,283,333.6,214.8985
8,14,187.358,1.188,258,320,381.26,257.5873
